,,RENSEIGNMENTS SUR L'EMPLACEMENT,,,RENSEIGNMENTS SUR LA STRUCTURE,,,,,,,,,,,RENSEIGNMENTS ADMINISTRATIVES,,,,RENSEIGNMENTS DE L'INSPECTION (BCI = Indice de l'état du pont),,,,,,,,,,,,,,,
43 - 105/2,CNR Overhead Southbound Lane,11,46.27525,-79.4015,Bridge,Beam/Girder,AASHTO Girder,Reinforced Precast Concrete,1980,2000,,3,Total=77.7  (1)=25.9;(2)=25.9;(3)=25.9;,79.9,11.8,Northeastern,NIPISSING,Open to traffic,Provincial,05/17/2012,73.9,,73.9,,74.2,,74.5,74.5,,74.3,,81.7,,85.5,
43 - 113/,Kaibuskong River Bridge,17,46.26993,-79.13785,Bridge,Beam/Girder,Plate I Girder,Steel,1960,1988,2014,1,Total=36.6  (1)=36.6;,38.3,11.3,Northeastern,NIPISSING,Open to traffic,Provincial,05/15/2012,69.5,,69.5,,69.7,,69.1,69.1,,73.6,,73.1,,70.8,
43 - 115/,Sparks Creek,17,46.27006,-79.04871,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1959,1989,2006,1,Total=23.2  (1)=23.2;,27,11.3,Northeastern,NIPISSING,Open to traffic,Provincial,05/15/2012,73.4,,73.4,,73.7,,74.8,74.7,,69.6,,69.6,,69,
43 - 123/,Northwest Arm of Lake Nipissing Bridge,64,46.22595,-80.31313,Bridge,Beam/Girder,Box Beam,Weathering Steel,1976,1994,,1,Total=39.13  (1)=39.13;,43.2,10.4,Northeastern,NIPISSING,Open to traffic,Provincial,06/12/2012,72.6,,72.6,,73,,72.9,72.5,,71.6,,73,,73.6,
43 - 124/,Southwest Arm of Lake Nipissing Bridge,64,46.21418,-80.30898,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1976,2009,,1,Total=42.8  (1)=42.8;,43.7,10.4,Northeastern,NIPISSING,Open to traffic,Provincial,06/12/2012,78.6,,78.6,,76.3,,67.3,67.4,,59.8,,67.5,,65.4,
43 - 144/,Madawaska River Bridge - North Branch,60,45.579107,-78.514602,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1951,1998,,2,Total=24.4  (1)=12.2;(2)=12.2;,13.7,11.9,Northeastern,NIPISSING,Open to traffic,Provincial,08/09/2012,73.7,,73.7,,73.8,,74.7,,74.7,,74.8,,77.1,,74.8
43 - 145/,Kearney Creek Bridge,60,45.569358,-78.440354,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2008,,,1,Total=25  (1)=25;,26.2,14.3,Northeastern,NIPPISSING,Open to traffic,Provincial,08/08/2012,97.4,,97.4,,99,,0,,45,,46,,47.1,,61.2
43 - 148/,Smoke Creek Bridge,60,45.515343,-78.717926,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2000,,,1,Total=38  (1)=38;,40,13,Northeastern,NIPPISSING,Open to traffic,Provincial,08/09/2012,96.8,,96.8,,97.5,,96.6,,98,77.9,,99.9,100,,
43 - 149/,Clarke's Creek Bridge,60,45.540474,-78.264611,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2009,,,1,Total=25.8  (1)=25.8;,28.2,13.3,Northeastern,NIPPISSING,Open to traffic,Provincial,08/08/2012,95.9,,95.9,,96.3,,0,,51.6,,52.6,,52.8,,55.3
43 - 150/,Whitney Bridge over Madawaska River,60,45.494241,-78.239302,Bridge,Arch,Earth Filled Arch,Reinforced Cast-In-Place Concrete,1941,1966,,1,Total=30.2  (1)=30.2;,50.3,11.6,Northeastern,NIPISSING,Open to traffic,Provincial,06/07/2012,68,,68,,71.7,,67,,67.6,,71.2,,71.2,,72.4
43 - 153/,Madawaska River Bridge,60,45.502641,-77.978416,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1942,1996,,3,Total=48  (1)=15;(2)=18;(3)=15;,50.3,11.5,Northeastern,NIPISSING,Open to traffic,Provincial,08/13/2012,71.6,,71.6,,74.4,,73.4,,74.1,,74.7,,75,,75
43 - 154/,Opeongo River Bridge,60,45.50637,-77.94486,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1942,1996,,3,Total=48  (1)=15;(2)=18;(3)=15;,49.3,10.1,Northeastern,NIPISSING,Open to traffic,Provincial,08/08/2012,71.4,,71.4,,70.3,,72.4,,73,,74.2,,75.3,,74.9
43 - 155/,Moore Creek Bridge,523,45.488518,-77.973665,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1986,,,1,Total=29  (1)=29;,30.2,9.5,Northeastern,NIPISSING,Open to traffic,Provincial,08/08/2012,74,,74,,74,,74.4,,74.6,,75,,98.8,,
43 - 163/,Ottawa River Dam East Channel,63,46.71137,-79.10125,Bridge,Slab,Rectangular Voided Slab,Reinforced Precast Concrete,1966,2014,,12,Total=93.09999  (1)=8.1;(2)=7.5;(3)=7.6;(4)=7.6;(5)=7.6;(6)=7.6;(7)=7.6;(8)=7.6;(9)=7.6;(10)=7.6;(11)=8.6;(12)=8.1;,95,9.9,Northeastern,NIPPISSING,Open to traffic,Provincial,05/16/2012,67.2,,67.2,,66.3,,73.2,75,78.8,,,72.8,,,
43 - 164/,Ottawa River Dam West Channel,63,46.7114,-79.10064,Bridge,Beam/Girder,Rolled I Beam,Steel,1966,1990,,16,Total=120  (1)=7.5;(2)=7.5;(3)=7.5;(4)=7.5;(5)=7.5;(6)=7.5;(7)=7.5;(8)=7.5;(9)=7.5;(10)=7.5;(11)=7.5;(12)=7.5;(13)=7.5;(14)=7.5;(15)=7.5;(16)=7.5;,121,9.7,Northeastern,NIPPISSING,Open to traffic,Provincial,05/16/2012,73.1,,73.1,,67.1,,73.2,71.6,74.5,,,74.8,,,
43 - 171/,C.N.R Subway Bridge,64,46.52538,-80.02847,Bridge,Slab,Solid Slab,Reinforced Cast-In-Place Concrete,1937,,,1,Total=11  (1)=11;,11.5,4,Northeastern,NIPISSING,Open to traffic,Provincial,06/18/2012,55.4,,55.4,,57.5,,57.8,59.2,,62.6,,58,,57.5,
43 - 179/,Timagami River Bridge,539,46.59734,-80.1848,Bridge,Temporary Modular,Bailey Panel,Steel,1979,,2008,1,Total=31.5  (1)=31.5;,31.7,3.9,Northeastern,NIPISSING,Open to traffic,Provincial,05/31/2012,69.6,,69.6,,70.1,,70.1,71.4,,67.8,,73.5,,66.6,
43 - 190/,Grassy Lake Bridge,805,46.82034,-80.28191,Bridge,Temporary Modular,Bailey Panel,Steel,1973,,2008,1,Total=24.4  (1)=24.4;,25.5,3.9,Northeastern,NIPISSING,Open to traffic,Provincial,05/31/2012,76.6,,76.6,,77.4,,71.9,72,,63.7,,72.8,,68.6,
43 - 199/1,"Birch's Road Overpass, Northbound Lane",11,46.27209,-79.40063,Bridge,Beam/Girder,AASHTO Girder,Reinforced Precast Concrete,1981,2000,,1,Total=25.6  (1)=25.6;,26.7,11.8,Northeastern,NIPISSING,Open to traffic,Provincial,05/17/2012,72.4,,72.4,,72.5,,74.2,74.6,,74.4,,75.8,,75.5,
43 - 199/2,Birch's Road Overpass Southbound Lane,11,46.27192,-79.40112,Bridge,Beam/Girder,AASHTO Girder,Reinforced Precast Concrete,1981,2000,,1,Total=25.6  (1)=25.6;,26.7,11.8,Northeastern,NIPISSING,Open to traffic,Provincial,05/17/2012,73.8,,73.8,,70.9,,73.7,74.4,,73.5,,76.1,,74.4,
43 - 200/1,Lavase River and CPR Overhead Northbound Lane,11,46.26787,-79.39577,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1981,,,2,Total=79.2  (1)=39.6;(2)=39.6;,79.9,14,Northeastern,NIPISSING,Open to traffic,Provincial,06/05/2012,74.9,,74.9,,74.4,,74.7,74.7,,74.7,,75.3,,75.1,
43 - 200/2,Lavase River/CPR Overhead Southbound Lane,11,46.267256,-79.39674,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1981,2000,2008,2,Total=79.2  (1)=39.6;(2)=39.6;,79.9,14,Northeastern,NIPISSING,Open to traffic,Provincial,06/05/2012,74.9,,74.9,,74.5,,74.8,74.8,,74.4,,75.7,,74.8,
43 - 201/,Lakeshore Drive Underpass,11,46.26496,-79.39175,Bridge,Slab,Solid Slab,Reinforced Cast-In-Place Concrete,1980,2000,,2,Total=67  (1)=33.5;(2)=33.5;,67.9,15.2,Northeastern,NIPISSING,Open to traffic,Provincial,05/31/2012,74.6,,74.6,,74.8,,78.1,74.5,,83.6,,83.8,,75.2,
43 - 203/,Hwy 94 and CNR Underpass,11,46.23761,-79.35044,Bridge,Slab,Solid Slab,Reinforced Cast-In-Place Concrete,1984,,2007,5,Total=196.75  (1)=27;(2)=47.25;(3)=48;(4)=35;(5)=39.5;,197.5,10.4,Northeastern,NIPISSING,Open to traffic,Provincial,05/28/2012,74,,74,,74.7,,75,82.7,,74,,74.1,,73.8,
43 - 204/1,Derland Road Overpass Northbound Lane,11,46.22436,-79.34993,Bridge,Beam/Girder,AASHTO Girder,Reinforced Precast Concrete,1983,2006,,1,Total=30.5  (1)=30.5;,32.5,11.9,Northeastern,NIPISSING,Open to traffic,Provincial,05/28/2012,73.8,,73.8,,74.3,,75.2,74.8,,73.2,,80.7,,70.6,
43 - 204/2,Derland Road Overpass Southbound Lane,11,46.22425,-79.35029,Bridge,Beam/Girder,AASHTO Girder,Reinforced Precast Concrete,1983,2006,,1,Total=30.5  (1)=30.5;,32.5,11.9,Northeastern,NIPISSING,Open to traffic,Provincial,05/28/2012,73.6,,73.6,,74.5,,75.1,75.3,,73.9,,81.1,,67.9,
43 - 205/1,Mountain Road Overpass Northbound Lane,11,46.2106,-79.34957,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1986,2006,,1,Total=30.9  (1)=30.9;,32.5,11.9,Northeastern,NIPISSING,Open to traffic,Provincial,06/22/2012,81.3,,81.3,,86.1,,88.9,89.5,,72,,75.3,,72.2,
43 - 205/2,Mountain Road Overpass Southbound Lane,11,46.2106,-79.34957,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1986,2006,,1,Total=28.9  (1)=28.9;,33.9,11.9,Northeastern,NIPISSING,Open to traffic,Provincial,06/22/2012,82,,82,,85.3,,87.9,86.6,,75.8,,91.3,,74.2,
43 - 350/,Hwy 11 and 17 Interchange Underpass,11,46.30534,-79.4315,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1992,,,2,Total=120  (1)=60;(2)=60;,121,15,Northeastern,NIPISSING,Open to traffic,Provincial,08/25/2012,86.7,,86.7,,84.3,,86.1,86.1,,74.5,,99.2,,74.1,
43 - 370/,"Pedestrian Underpass, Hwy 11at Frost Street",11,46.32585,-79.4498,Bridge,Truss,Through Truss,Other,2009,,,2,Total=66  (1)=26;(2)=40;,66.6,3.6,Northeastern,NIPPISSING,Open to traffic,Provincial,05/16/2012,99.8,,99.8,,100,,,,,,,,,,
44 -   1/,French River Bridge,69,46.01741,-80.58225,Bridge,Truss,Through Truss,Steel,1957,1985,2003,2,Total=118.8  (1)=21.3;(2)=97.5;,120.6,11.1,Northeastern,PARRY SOUND,Open to traffic,Provincial,06/15/2012,74.4,,74.4,,74.7,,75.3,,75.4,,73.6,52.2,,,
44 -   2/,Pickeral River Bridge,69,45.99718,80.56757,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,2002,,,2,Total=116.5  (1)=39;(2)=77.5;,118.9,15,Northeastern,PARRY SOUND,Open to traffic,Provincial,06/22/2012,97.5,,97.5,,97.6,,97.6,,99.4,,99.2,99,,,
44 -   3/,CNR Overhead at Cranberry Lake,69,45.911488,-80.573558,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1987,,,4,Total=82  (1)=22;(2)=22;(3)=22;(4)=16;,83,14.5,Northeastern,PARRY SOUND,Open to traffic,Provincial,06/12/2012,70.3,,70.3,,79.6,,84,,84.1,,81.3,83.1,,,
44 -   4/,Key River,69,45.90469,-80.57198,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,2010,,,3,Total=44  (1)=12;(2)=20;(3)=12;,45,12.9,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/04/2012,99.2,,99.2,,46.6,,46.6,,47.6,,31.1,33.1,,,
44 -   6/,CNR Overhead Callander South,94,46.21444,-79.35709,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1959,,1982,1,Total=7.3  (1)=7.3;,8.5,15.2,Northeastern,PARRY SOUND,Open to traffic,Provincial,06/21/2012,70.5,,70.5,,71.2,,72.1,73.3,,71.7,,72.7,,68.7,
44 -   9/,Still River Bridge,69,45.80046,-80.5362,Bridge,Beam/Girder,Rolled I Beam,Steel,1953,,1989,5,Total=115.7  (1)=16.8;(2)=17.4;(3)=50.4;(4)=18.9;(5)=12.2;,116.7,14.9,Northeastern,PARRY SOUND,Open to traffic,Provincial,06/15/2012,73.4,,73.4,,75.9,,75.8,,76.3,,90.8,93.6,,,
44 -  15/,Beaudry Creek,534,46.0197,-79.68249,Bridge,Beam/Girder,Rolled I Beam,Weathering Steel,2006,,,1,Total=23.6  (1)=23.6;,24.6,12.3,Northeastern,PARRY SOUND,Open to traffic,Provincial,06/26/2012,96.2,,96.2,,96.6,,99.9,100,,63.5,,63.5,,59.4,
44 -  16/,Beatty Creek,534,46.0876,-79.51399,Bridge,Slab,Rectangular Voided Slab,Prestressed Precast Concrete,2010,,,1,Total=14.7  (1)=14.7;,16,13,Northeastern,PARRY SOUND,Open to traffic,Provincial,06/26/2012,95.8,,95.8,,67.2,,66.8,66.6,,65.5,,68.8,,64.9,
44 -  18/,South River Bridge At Nipissing Village,654,46.09805,-79.51489,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1972,1988,,3,Total=54.9  (1)=16.8;(2)=21.3;(3)=16.8;,55.3,11.6,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/06/2012,72,,72,,72.6,,73.5,73.1,,73.4,,73.5,,70.1,
44 -  19/,Bear Creek Bridge,654,46.14215,-79.49716,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1989,,,1,Total=12  (1)=12;,13.2,8.5,Northeastern,PARRY SOUND,Open to traffic,Provincial,06/26/2012,73,,73,,73.2,,75.8,73.1,,73.2,,72.9,,63.5,
44 -  22/,Wasi River Bridge,654,46.19652,-79.36673,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1950,1986,,1,Total=16.9  (1)=16.9;,17.2,11.5,Northeastern,PARRY SOUND,Open to traffic,Provincial,06/21/2012,70.9,,70.9,,71.6,,71.9,72,,71.3,,73.1,,71.4,
44 -  24/,Magnetawan River Bridge,69,45.77462,-80.49718,Bridge,Arch,Spandrel Arch,Reinforced Cast-In-Place Concrete,1959,1989,,3,Total=51.8  (1)=12.2;(2)=27.4;(3)=12.2;,57.2,11.4,Northeastern,PARRY SOUND,Open to traffic,Provincial,06/11/2012,72.4,,72.4,,72,,72.4,,73,,86.6,88.5,,,
44 -  29/,Commanda Creek Bailey,524,46.00374,-79.65582,Bridge,Temporary Modular,Bailey Panel,Steel,1973,,2011,1,Total=27.4  (1)=27.4;,27.4,3.5,Northeastern,PARRY SOUND,Open to traffic,Provincial,06/26/2012,63.3,,63.3,,63,,63.2,63.8,,56.1,,70.4,,67.5,
44 -  30/,Commanda Creek Bridge,522,45.95775,-79.61158,Bridge,Slab,Solid Slab,Timber-Concrete Composite,1952,2006,,8,Total=38  (1)=5;(2)=5;(3)=4;(4)=5;(5)=5;(6)=4;(7)=5;(8)=5;,38.5,8.7,Northeastern,PARRY SOUND,Open to traffic,Provincial,06/25/2012,73.7,,73.7,,75.7,,75,75,,70.4,,71.7,,71.2,
44 -  33/,South River Bridge,534,46.07488,-79.39745,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1969,2010,,3,Total=45.7  (1)=12.2;(2)=21.3;(3)=12.2;,47,11.3,Northeastern,PARRY SOUND,Open to traffic,Provincial,08/14/2012,70.1,,70.1,,69.3,,69.3,69.5,,71.7,,72,,71.1,
44 -  42/,Naiscoot River Bridge,529,45.67265,-80.48277,Bridge,Truss,Half Through Truss (PONY),Steel,1937,,,3,Total=39.6  (1)=6.1;(2)=27.4;(3)=6.1;,40.8,9.8,Northeastern,PARRY SOUND,Open to traffic,Provincial,06/12/2012,62.9,,62.9,,61.7,,65.6,,58.6,,56.7,59.9,,,
44 -  43/,Naiscoot River Bridge,69,45.64638,-80.39989,Bridge,Beam/Girder,Rolled I Beam,Steel,1963,,,1,Total=42.1  (1)=42.1;,43.1,10.4,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/24/2012,65.3,,65.3,,65.2,,65,,64.9,,62.6,64.2,,,
44 -  50/,South River Bridge,522,45.97888,-79.39386,Bridge,Beam/Girder,AASHTO Girder,Reinforced Precast Concrete,1977,2010,1983,3,Total=57.9  (1)=18.3;(2)=21.3;(3)=18.3;,60,9,Northeastern,PARRY SOUND,Open to traffic,Provincial,06/25/2012,74.4,,74.4,,71.1,,71.1,67.4,,65.5,,66.7,,68,
44 -  51/,Trout Creek Bridge,522,45.98636,-79.35954,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1938,,,1,Total=12.2  (1)=12.2;,13.3,13,Northeastern,PARRY SOUND,Open to traffic,Provincial,06/26/2012,61.8,,61.8,,62.2,,62.1,63.9,63.6,,,64,,52.9,
44 -  53/,CPR Overhead,529,45.617627,-80.394073,Bridge,Slab,Solid Slab,Reinforced Cast-In-Place Concrete,1937,,,3,Total=20.7  (1)=6.8;(2)=7.1;(3)=6.8;,22.1,10.1,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/23/2012,58.6,,58.6,,59.3,,60.4,,57.8,,66.8,68,,,
44 -  55/,Whitestone River Bridge,520,45.68331,-79.97513,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1992,,,1,Total=29  (1)=29;,29.6,9.5,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/10/2012,86.3,,86.3,,86.6,,86.9,,93.4,75.8,,94.6,98.3,,
44 -  65/,Shawanaga River Bridge,69,45.549713,-80.284043,Bridge,Beam/Girder,Rolled I Beam,Steel,1958,1987,,1,Total=36.6  (1)=36.6;,37.2,10.4,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/23/2012,72.3,,72.3,,73.2,,74.1,,88.6,68.5,,69.1,69.9,,
44 -  67/,Whitestone Lake Bridge,124,45.64718,-79.85206,Bridge,Slab,Solid Slab,Reinforced Cast-In-Place Concrete,1973,2000,,1,Total=10.7  (1)=10.7;,12,15.2,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/10/2012,71.1,,71.1,,74.1,,74.7,,73.4,63.5,,75.6,97.6,,
44 -  69/,Magnetawan River Bridge,124,45.66731,-79.71931,Bridge,Beam/Girder,Rolled I Beam,Steel,1966,2000,,2,Total=48.7  (1)=21.3;(2)=27.4;,49.7,10.4,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/10/2012,71.1,,71.1,,71.4,,71.5,,71.4,72.9,,73.6,88.3,,
44 -  71/,Distress River Bridge,520,45.669944,-79.621702,Bridge,Beam/Girder,AASHTO Girder,Reinforced Precast Concrete,1967,1985,,3,Total=45.8  (1)=15.2;(2)=15.4;(3)=15.2;,46.5,10.4,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/10/2012,67,,67,,67.2,,66.9,,64.2,66.4,,70.2,78.3,,
44 -  72/,Distress River Bridge,124,45.70113,-79.61333,Bridge,Beam/Girder,AASHTO Girder,Reinforced Precast Concrete,1978,2000,,1,Total=24.4  (1)=24.4;,25,10,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/10/2012,71.5,,71.5,,73.1,,73.2,,72,71.8,,74.1,75,,
44 -  92/,BERNARD CREEK BR. (ON ROBINS ROAD),,45.70988,-79.43367,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2008,,,1,Total=19.7  (1)=19.7;,21.9,11.5,Northeastern,PARRY SOUND,Open to traffic,Provincial,08/15/2012,97.7,,97.7,,,,,,,,,,,,
44 -  99/1,Bernard Creek Bridge Widened,11,45.702895,-79.440045,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,2012,,,1,Total=24.7  (1)=24.7;,27.1,19.3,Northeastern,PARRY SOUND,Open to traffic,Provincial,08/16/2012,99.8,,99.8,,67.7,,70.1,,69.8,59.9,,64.4,59.7,,
44 -  99/2,Bernard Creek Bridge,11,45.70193,-79.44048,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,2010,,,1,Total=24.8  (1)=24.8;,27.2,14.1,Northeastern,PARRY SOUND,Open to traffic,Provincial,08/16/2012,98.9,,98.9,,,,,,,,,,,,
44 - 105/,Sly's Creek Bridge (Briers),69,45.43237,-80.11522,Bridge,Slab,Solid Slab,Reinforced Cast-In-Place Concrete,2011,,,1,Total=37.8  (1)=37.8;,40,13,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/23/2012,99.6,,99.6,,65,,65.5,,64.3,63.3,,56.1,46.6,,
44 - 120/,North Creek Bridge,520,45.60741,-79.45173,Bridge,Beam/Girder,Plate I Girder,Steel,1965,1996,,1,Total=27.4  (1)=27.4;,28.2,10.4,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/11/2012,72.7,,72.7,,73.9,,73.9,,73.9,74,,77.2,90.1,,
44 - 122/1,Magnetawan River Bridge NBL,11,45.5676,-79.34704,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2010,,,3,Total=95  (1)=25.75;(2)=43.5;(3)=25.75;,100.2,14.1,Northeastern,PARRY SOUND,Open to traffic,Provincial,08/16/2012,99.4,,99.4,,,,,,,,,,,,
44 - 122/2,Magnetawan River Bridge Southbound Lane,11,45.56755,-79.34763,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2010,,,3,Total=88  (1)=24;(2)=40;(3)=24;,91.1,15.6,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/12/2012,99.5,,99.5,,69,,69,,68.3,65.8,,66.1,77.1,,
44 - 123/,Magnetawan River Bridge,11,45.57639,-79.35403,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1972,2009,,3,Total=47.5  (1)=14.6;(2)=18.3;(3)=14.6;,50,14.2,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/11/2012,85.6,,85.6,,69.2,,69.2,,68.6,71,,71.6,78.8,,
44 - 137/,Little Seguin River (Duck Lake),518,45.37614,-79.80326,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1973,2010,1988,1,Total=19.8  (1)=19.8;,22.3,9.8,Northeastern,PARRY SOUND,Open to traffic,Provincial,08/17/2012,74.7,,74.7,,73.5,,73.6,,77.6,67.1,,67.9,66.6,,
44 - 144/,Magnetawan River Bridge,518,45.54477,-79.25755,Bridge,Beam/Girder,Rolled I Beam,Steel,1961,2007,,1,Total=28.3  (1)=28.3;,31.1,11.8,Northeastern,PARRY SOUND,Open to traffic,Provincial,06/28/2012,80.9,,80.9,,81.5,,77,,67.3,62.8,,66.9,79.9,,
44 - 147/,Broad River Bridge,141,45.28627,-79.79182,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1975,,2002,1,Total=16.7  (1)=16.7;,17.3,10.4,Northeastern,PARRY SOUND,Open to traffic,Provincial,08/29/2012,73.3,,73.3,,74.3,,74.2,,74.2,74.4,,78.3,61.5,,
44 - 158/,Portage Creek Bridge,69,45.23837,-79.80651,Bridge,Beam/Girder,Rolled I Beam,Steel,1954,2001,,9,Total=54  (1)=6;(2)=6;(3)=6;(4)=8;(5)=6;(6)=6;(7)=6;(8)=5;(9)=5;,55.4,18.3,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/04/2012,73.4,,73.4,,73.6,,73.8,,73.8,74,,75.7,79.2,,
44 - 159/,Shadow River Bridge,141,45.27233,-79.67422,Bridge,Slab,Solid Slab,Timber-Concrete Composite,1975,,,7,Total=47.5  (1)=5.5;(2)=7.3;(3)=7.3;(4)=7.3;(5)=7.3;(6)=7.3;(7)=5.5;,47.8,10.5,Northeastern,PARRY SOUND,Open to traffic,Provincial,08/30/2012,69,,69,,70.2,,70.3,,70.3,69.7,,69.8,72.6,,
44 - 160/,Shadow River Bridge,632,45.25732,-79.65024,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2010,,,1,Total=38  (1)=38;,39,9.5,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/04/2012,98.1,,98.1,,67.9,,68.3,,60.9,59.1,,72.9,74.4,,
44 - 164/1,Seguin River Bridge Northbound Lane,69,45.36028,-80.01468,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2008,,,3,Total=81  (1)=26;(2)=29;(3)=26;,81.6,14,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/04/2012,98.1,,98.1,,98.6,,75.6,72.8,,66.3,,67.8,68.3,,
44 - 164/2,Seguin River Bridge SBL,69,45.36008,-80.01504,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2009,,,3,Total=77  (1)=24.8;(2)=27.4;(3)=24.8;,82,14,Northeastern,PARRY SOUND,Open to traffic,Provincial,08/28/2012,98.4,,98.4,,,,,,,,,,,,
44 - 166/,CNR. Overhead Bridge,592,45.52124,-79.30659,Bridge,Beam/Girder,Rolled I Beam,Steel,1931,,,1,Total=6.1  (1)=6.1;,7.5,8.7,Northeastern,PARRY SOUND,Open to traffic,Provincial,08/13/2012,53.8,,53.8,,59.2,,63.4,,59.4,49.7,,49.7,58,,
44 - 174/,Little East River Bridge No. 1,592,45.45585,-79.24883,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1919,,,1,Total=6.1  (1)=6.1;,7.2,8.2,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/13/2012,57.2,,57.2,,61.4,,63.2,,57,45.6,,41.6,40.9,,
44 - 175/,Little River Bridge No 2,592,45.46008,-79.24975,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1930,,,1,Total=6.1  (1)=6.1;,7.2,8.2,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/13/2012,61.1,,61.1,,62.3,,62.9,,59.9,51.5,,59.8,61,,
44 - 176/,Little River Bridge No. 3,592,45.46342,-79.25007,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1916,,,1,Total=6.1  (1)=6.1;,7.2,8.2,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/13/2012,66.9,,66.9,,71.5,,70.9,,65.6,52.6,,57.6,62.2,,
44 - 177/,Little River Bridge Number 4,592,45.48453,-79.25148,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1916,,,1,Total=6.1  (1)=6.1;,7.2,8.2,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/13/2012,70.1,,70.1,,71.5,,71.2,,63.4,36.3,,43.3,40.8,,
44 - 178/,Ragged Creek Bridge,592,45.52037,-79.30398,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1916,,,1,Total=6.1  (1)=6.1;,7.2,8.2,Northeastern,PARRY SOUND,Open to traffic,Provincial,08/15/2012,64.8,,64.8,,65.4,,68.9,,64.2,50,,40.7,38.9,,
44 - 180/,"ESS Narrows/Kawigamog Lake
",522,45.92009,-80.243264,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1975,,1982,1,Total=37.8  (1)=37.8;,39,10.4,Northeastern,PARRY SOUND,Open to traffic,Provincial,07/04/2012,79.6,,79.6,,84.2,,87.1,,87.2,,75.9,95.6,,,
